Network,School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
Network 6,610308,Wilma Rudolph Elementary Learning Center, 93 ,14,13,9,12,7,22,13,3,,,,,,,
Network 7,609966,Charles G Hammond Elementary School, 458 ,12,47,46,39,42,46,52,46,51,37,40,,,,
Network 7,610063,Cyrus H McCormick Elementary School, 794 ,24,65,121,93,116,116,131,128,,,,,,,
Network 7,609870,Daniel J Corkery Elementary School, 544 ,14,26,66,47,62,57,62,46,60,57,47,,,,
Network 7,609704,David G Farragut Career Academy High School, 843 ,9,16,,,,,,,,,,187,226,212,193
Network 7,610227,Eli Whitney Elementary School," 1,035 ",11,52,79,111,92,129,117,120,106,124,94,,,,
Network 7,610215,Francisco I Madero Middle School, 336 ,,,,,,,,,104,121,111,,,,
Network 7,609920,Gerald Delgado Kanoon Elementary Magnet School, 660 ,6,13,56,69,84,74,72,66,75,83,62,,,,
Network 7,610383,Greater Lawndale High School For Social Justice, 304 ,,,,,,,,,,,,70,100,64,70
Network 7,610384,Infinity Math Science and Technology High School, 409 ,,,,,,,,,,,,100,120,110,79
Network 7,610125,Irma C Ruiz Elementary School, 773 ,18,31,70,73,84,91,82,95,81,67,81,,,,
Network 7,610216,John A Walsh Elementary School, 365 ,15,22,29,27,37,30,47,41,35,43,39,,,,
Network 7,610228,John Greenleaf Whittier Elementary School, 269 ,6,12,16,29,30,28,30,33,36,20,29,,,,
Network 7,610184,John Spry Elementary Community School, 596 ,18,26,70,44,57,61,75,66,72,50,57,,,,
Network 7,609950,Josefa Ortiz De Dominguez Elementary School, 596 ,27,64,167,162,176,,,,,,,,,,
Network 7,609938,Joseph E Gary Elementary School," 1,118 ",17,38,,,,180,193,167,201,157,165,,,,
Network 7,610015,Joseph Jungman Elementary School, 291 ,3,23,31,27,31,22,39,25,32,28,30,,,,
Network 7,610129,Josiah Pickard Elementary School, 475 ,1,29,47,29,48,51,53,49,54,54,60,,,,
Network 7,610024,Lazaro Cardenas Elementary School, 614 ,19,63,116,122,151,143,,,,,,,,,
Network 7,609834,Little Village Elementary School, 834 ,15,37,68,67,106,87,100,90,93,84,87,,,,
Network 7,609872,Manuel Perez Elementary School, 311 ,16,20,30,30,34,29,32,24,40,33,23,,,,
Network 7,610017,Maria Saucedo Elementary Scholastic Academy," 1,085 ",14,56,101,94,103,115,129,118,119,112,124,,,,
Network 7,610385,Multicultural Academy of Scholarship, 251 ,,,,,,,,,,,,51,78,57,65
Network 7,610329,Orozco Fine Arts & Sciences Elementary School, 568 ,4,34,26,27,29,28,30,34,119,125,112,,,,
Network 7,609867,Peter Cooper Elementary Dual Language Academy, 493 ,15,36,60,71,65,80,84,82,,,,,,,
Network 7,610013,Pilsen Elementary Community Academy, 360 ,12,38,39,35,29,37,34,42,33,32,29,,,,
Network 7,609826,Rosario Castellanos Elementary School, 611 ,,,,,,,143,123,134,104,107,,,,
Network 7,610357,Spry Community Links High School, 162 ,,,,,,,,,,,,37,43,62,20
Network 7,609921,Telpochcalli Elementary School, 288 ,10,11,29,32,31,34,29,33,21,27,31,,,,
Network 7,609967,William F Finkl Elementary School, 428 ,18,36,32,53,45,34,34,50,35,36,55,,,,
Network 7,610392,World Language Academy High School, 340 ,,,,,,,,,,,,98,89,76,77
Network 8,609993,Agustin Lara Elementary Academy, 474 ,25,30,36,42,40,50,48,41,48,53,61,,,,
